question,answer
what medical help is available after a cyclone,"Emergency clinics and hospitals offer treatment for injuries, infections, and stress. Local health teams are ready to assist—don’t hesitate to reach out!"
how can i help others after a disaster,"Volunteer at shelters, donate supplies like food and clothes, and share verified information. Every small action helps rebuild lives!"
what to do if my home is damaged,"Stay away from unstable structures, report the damage to authorities, and seek temporary shelter. Your safety comes first!"
how do i recover emotionally from a disaster,"Talk to loved ones, seek counseling if needed, and give yourself time to heal. It’s okay to feel overwhelmed—support is available!"
how do i clean my house after an oil spill,"Wear protective gear, ventilate the area, and clean surfaces with approved materials. Follow local guidelines for safe cleanup!"
where can i get clean water after a disaster,"Relief centers, government aid points, and bottled water distribution sites can help. Always prioritize safe drinking water for your health!"
how long does recovery take after a cyclone,"Recovery time varies depending on the damage. Some repairs take days, others weeks or months. Stay connected with relief teams and don’t lose hope!"
what is the emergency number,"Dial 112 for emergency help anywhere in the country. Local disaster teams, ambulances, and fire services are ready to assist you!"
who should i call if my area is flooded,Contact local disaster management authorities or call 112. They can guide you to shelters and medical help right away!
where can i find emergency medical help,"Hospitals, clinics, and relief centers set up by the government provide urgent medical care. Call 112 or check official websites for nearby facilities!"
how do i report an oil spill,Report oil spills to environmental authorities or coastal management teams through helplines or official websites. Quick reporting helps protect marine life!
is there a helpline for mental health support,"Yes, many disaster relief organizations offer counseling helplines. Talk to trained professionals to get emotional support when you need it!"
who helps if my home is destroyed,"Government relief teams, local NGOs, and disaster management groups provide shelter, supplies, and assistance during recovery. Reach out to them for help!"
how do i contact the coast guard,Visit official coast guard websites or call emergency numbers provided by them. They coordinate rescue and marine safety operations!
what should i do if i’m stuck during a storm,"Stay in a safe location, call emergency services at 112, and share your location. Rescue teams are trained to help you as quickly as possible!"
where can i find government alerts about storms,"Check local weather apps, government disaster portals, or subscribe to SMS alerts. Stay informed to act before danger strikes!"
who do i call if someone is injured,Contact emergency services by calling 112 immediately. They will send medical teams to assist with treatment and transport if needed! 
