id,language_code,description,label
q3dHkB_dDkw,en,Surat News Flooding in Tapi due to rain in uplands Flood water came in Tapi 7 flood gates closed Surat News,highly_relevant
6a8PlNPmBoc,gu,Surat Police Rescue સુરતમાં ખાડી પૂર ગળાડૂબ પાણીમાં ફસાયેલા લોકોનું,highly_relevant
si67vM93IAQ,en,Continuous rain continues in the upper reaches of Surat 1 63 lakh cusecs of water is flowing into the Ukai Dam from the upper,relevant
bW91FR2YWh0,gu,gujarattak મોનસુનની શરૂઆત થઈ છે ત્યારે સુરતની,highly_relevant
Mw1_WI82n8k,en,Surat સુરતનો મોરા ભાગળ વિસ્તાર પાણીમાં ગરકાવ Mora Bhagal Waterlogged Gujarat Heavy,highly_relevant
XK54jtCJPJo,gu,surat Tv9 ગુજરાતીની Youtube,highly_relevant
4ExD-iv7Dmo,en,Surat Heavy Rain News Heavy rain lashed Surat Most of the rivers in the district have overflowed their banks The Keem river,relevant
_AF5SE2sL_o,gu,shorts તમે અમારી સાથે જોડાઈ શકો છો Website,highly_relevant
C-AEZYPGAAk,en,River flows on the road in Surat Woe to those knee deep in water The system has not yet worked સુરતમાં રસ્તા,highly_relevant
tkzEqfL6VSM,gu,સુરતમાં ખાડી પૂરના કારણે વારંવાર લોકો હાલાકીમાં મુકાઈ રહ્યાં છે,highly_relevant
YXetRHpiVDc,en,Bay floods in Surat due to torrential rains Water Water in Parvat Patiya area of Surat Boundary Bay overflow The water,highly_relevant
STjirqi7avo,en,Flooding in Mindhola River due to heavy rains upstream There have been floods five times in the current season ઉપરવાસ,highly_relevant
ExzepC3JMH4,en,આજનો એજન્ડા માનવસર્જિત પૂર Surat Heavy Rain Monsoon 2025 Flood Gujarat,highly_relevant
Zh29PjuKxU0,en,gujarat Weather Update સુરત શહેરમાં,highly_relevant
32SXVRztz4c,gu,Surat Kim River સુરતમાં કીમ નદીનું રૌદ્ર સ્વરૂપ માંગરોળના કોસાડી ગામના,not_relevant
RVKzXajPBME,gu,surat Surat waterlogging સુરતમાં 35 ફાર્મ હાઉસમાં ફરી,highly_relevant
HtxjOv_rUZw,gu,Surat Water Logging સુરત શહેરમાં ધોધમાર વરસાદથી મોરાભાગળમાં BRTS,highly_relevant
cAMuUfnlwt0,gu,Surat News હવામાન વિભાગની આગાહી પ્રમાણે સુરતમાં વરસાદ Rain Forecast Gujarati,highly_relevant
axLleCj2b3Y,en,Today Meghraja called for a southern storm and Surat district was also flooded આજે મેઘરાજાએ દક્ષિણ,highly_relevant
YNZqZyoS3NA,gu,Surat Rain UPdate ઉપરવાસમાં ભારે વરસાદથી કીમ નદીમાં પાણીની આવક VTV Digital,highly_relevant
a1hQSny3eqw,gu,સુરતના વેલાછા વિસ્તારમાં 35 જેટલા ફાર્મ હાઉસ પાણીમાં ગરકાવ કીમ,not_relevant
3DY9BBFMWpw,en,River flows on the road in Surat Woe to those knee deep in water The system has not yet worked સુરતમાં રસ્તા,relevant
yefUg4GMOp8,gu,સુરત ભગવાન આવું પૂર કોઇને ન દેખાડે,highly_relevant
TYc3MKO6MDY,gu,surat Surat Rain ભારે વરસાદ બાદ સુરતની કીમ નદી,highly_relevant
C6q1S42mukw,gu,પૂર બાદ હવે રોગચાળાનો ખતરો વરસાદી આફત બાદ Surat અને Vadodaraમાં રોગચાળળો,highly_relevant
EjR5zJAS1RA,en,SuratFlood Tv9,highly_relevant
YhfYn5-QWjE,en,Due to heavy inflow of water in Kim river 2 banks of Kim river Kim river water entered the farmhouse in Velachha village of,relevant
IdSzO58OCjU,gu,સુરતમાં ખાડીપુરની ભર પૂર સ્થિતિ 45 જેટલા વિદ્યાર્થીઓને લાઈફ,highly_relevant
BSeqchvySBs,en,સુરતમાં ધોધમાર વરસાદથી નદીમાં પૂર Heavy rain in Surat Gujarat Monsoon ZEE 24 Kalak Stay,highly_relevant
GYYT3VusShI,gu,Surat સુરતમાં 23 જૂનથી સતત ચાર દિવસ ભારે વરસાદ પડ્યો જેનાથી,highly_relevant
xoMtjbn25lo,gu,surat Kim River Flood સુરતની કીમ નદીએ ધારણ કર્યું,highly_relevant
863jeTPPhx0,gu,Surat Rain સુરતમાં તાપી નદી કોઝવેની સપાટીમાં વધારો,highly_relevant
gc6JkuJqllo,gu,Surat Flood Relief 2006 સુરત પૂર રાહત સામગ્રી ૨૦૦૬,highly_relevant
brl15svtO-I,gu,સુરતમાં વરસાદથી જળબંબાકાર જહાંગીરપુરામાં રસ્તા પર પાણી ભરાતા,highly_relevant
m9CaxF2i8wo,gu,સુરત જિલ્લામાં મેઘો મહેરબાન થતા સતત ત્રણ દિવસથી વરસાદ વરસી રહ્યો,highly_relevant
5aLewLVHoO8,en,ભારે વરસાદને કારણે મીંઢોળા નદીમાં પૂર Heavy rain in Surat Gujarat Monsoon 2022 ZEE 24,highly_relevant
4-BMvenn6V8,en,GUT016 Gujarat Tak ગુજરાતી Youtube ચેનલને,not_relevant
s3d1c2A2aAk,en,SuratTextileMarket Tv9,highly_relevant
jaKi7jtk804,en,HeadlinesNews,not_relevant
hbyUME8wllA,gu,Ankleshwar અંકલેશ્વર સુરતને જોડતા હાઇવે પર પાણી ભરાયા Surat Highway Waterlogged,not_relevant
k9qg_OxJ9BU,gu,News18Gujarati Bhavnagar માં ભારે વરસાદના કારણે પૂર,highly_relevant
XrpsLBzPLag,en,Subscribe GSTV Like us on Facebook Follow us on Twitter,not_relevant
6v8jR8vDm3E,gu,લિંબાયતમાં ખાડી પૂર ઓસરવાની શરૂઆત થઇ Surat News,highly_relevant
lvvLnj38gSo,gu,SuratRains,highly_relevant
8q8luFgVhAc,en,surat Tv9,highly_relevant
oKYOK3R2MMY,en,SuratRain,highly_relevant
NTw9cb5giEE,gu,Surat,not_relevant
L2-dcAMYODc,gu,gujaratrains સુરતમાં ભારે વરસાદને પગલે ગ્રામ્ય વિસ્તારોમાં પૂર,highly_relevant
EGu24lklEbM,gu,સુરતમાં ખાડી પૂર નિવારણ વાલમ સોસાયટી નજીક જર્જરિત ખાડી બ્રિજ દૂર,highly_relevant
#NAME?,gu,surat Surat News સુરતમાં ડ્રેનેજમાં કેમિકલયુક્ત,not_relevant
h7nd7mXPLws,gu,Surat news સુરત મહાનગરપાલિકાની બેદરકારી વડોદમાં ઓવરહેડ પાણીની ટાંકી,not_relevant
gqj6JQ0UoHU,en,સુરતમાં પૂર 2025 surat suratnews poor poor in Surat flood in Surat flood flood,highly_relevant
IWsgtHu7pXw,gu,Surat સુરતમાં 23 જૂનથી સતત ચાર દિવસ ભારે વરસાદ પડ્યો જેનાથી,highly_relevant
qbCFfgYv6CM,gu,Kadi,highly_relevant
YS2jcmYaB8U,en,Surat Heavy Rain Floods LIVE સુરતમાં ભારે વરસાદથી વિનાશક પૂર Monsoon Weather Forecast,highly_relevant
PIlhb_lIomg,gu,Surat Surat Rain Effect સુરતમાં અવિરત ધોધમાર વરસાદને પગલે,highly_relevant
CUCyYI587qA,gu,લિંબાયત વિસ્તારમાં ખાડી પૂર અને ગંદકીથી રોગચાળાનો ભય Latest Surat News,highly_relevant
nMFKyDFU9dI,gu,Surat સુરત શહેરમાં ખાડી પૂર મામલે મહત્વના સમાચાર tv13gujarati,highly_relevant
5MckBLEv0n0,en,SuratFlood Tv9,highly_relevant
IIPrnGxf-QI,en,Surat Heavy Rain Floods LIVE સુરતમાં વિનાશક પૂર 2006 જેવી હાલત Weather Forecast News18,highly_relevant
y-I-sSNtJS4,gu,Surat news સુરતમાં ગણેશ વિસર્જનને લઈ તૈયારી મનપાએ બનાવ્યા 22 કૃત્રિમ,not_relevant
6R_fhzXOFE4,en,Surat News દરિયામાં ભરતીમાં ટેમ્પો આવ્યો બહાર Flood Sea Viral Video Tempo news18,highly_relevant
yQOECf7t5IM,gu,flooded Please,highly_relevant
Yqf-VCG3Eyg,en,HeadlinesNews,not_relevant
VtyncPUYGXc,gu,surat Surat માં કાદવનું પૂર ઘરમાં ઘૂસી ગયું,highly_relevant
UukAuP8K5EM,gu,,highly_relevant
NALB5YlMnLk,en,Italy attacks on Surat s flood issue Aggressive attack on BJP Italy Jesus will visit Surat Italy will meet flood victims સુરતના,relevant
Ea03v2nfx4s,gu,youtubeshorts,not_relevant
Zc_9aaexo4A,gu,Surat Chemical Water સુરત શહેરના નાગરિકોને ફરી લાલ પાણીની સજા,not_relevant
qDZHF1CXGGM,gu,Surat Water Logging ઉધના લિંબાયતને જોડતાં અન્ડરગ્રાઉન્ડમાં પાણીની સમસ્યા,not_relevant
4AE9KHr4fnc,gu,SuratFlood,highly_relevant
Kj0Nth4mFjc,gu,Kadi,highly_relevant
g2nhcaCcTkw,en,Surat માં પાંચમી વખત ખાડી પૂર આવ્યું । Nirmananews watch live news on facebook,not_relevant
FC1uf5hCsYI,en,Purna river flooded due to heavy rains in Surat uplands સુરતમાં ઉપરવાસમાં ભારે વરસાદને પગલે,highly_relevant
bNcA2SzCWOU,gu,સુરત પૂર LIVE 2006 બાદ ફરી સુરતની શેરીઓમાં પૂરના પાણી ઉકાઈ ડેમમાં 70,highly_relevant
_PWK6hkRobs,gu,Surat Rains સુરતના ડુમસ રોડ વિસ્તારમાં વરસાદ,highly_relevant
TlrnOOrsUmA,gu,સુરતમાં વરસાદની આફત,highly_relevant
v5Rc85OAQ-Q,gu,Surat Rain સુરતમાં ભારે વરસાદથી બારડોલીમાં જળબંબાકાર,highly_relevant
uOKK3Fj7SLQ,gu,Divyang News ની Youtube ચેનલને સબસ્ક્રાઈબ કરો અને બેલ આઈકોન જરૂરથી દબાવો,highly_relevant
X5uQxM_OoXY,en,Audio Wing Presents Electro Rendition Of Very Super Hit Gujarati Song Unchi Talavdi We got so many requests after Gujarati,not_relevant
XeiPrD1NZ2E,en,Warning All the content Data Audio Video material are copyright protected If we find illegal use uploads Claims Strikes are,not_relevant
Y178mOq3ucU,en,Enjoy Latest Superhit Ultra HD 4K Gujarati Lagna Songs From Superhit Gujarati Movie Desh Re Joya Dada Pardesh Joya,not_relevant
NiOPMtXtoQQ,gu,,not_relevant
hblbuPIGQJU,gu,સમુદ્રની વચ્ચે બનાવી સૌથી લાંબી દીવાલ બંને સમુદ્રનું પાણી અલગ કેમ,not_relevant
BYPPh_bOj6o,gu,વેલ માછલી ની સામે નાવ ક્યાં હોગા video,not_relevant
HQUY_xebz1Y,en,,not_relevant
y4gXGsS4jyU,gu,મુવી ભાદર તારા વહેતા પાણી,not_relevant
mVjpxqWXbZ4,en,GujaratiNews Social Media Accounts Facebook Twitter,not_relevant
#NAME?,en,,not_relevant
15GBjZobX8s,en,kidssongsfun Presenting Bagicha Ma Lapasani Bal Geet Cartoon Video ગુજરાતી બાળગીત બગીચા માં,not_relevant
xCT8solJIJ8,gu,રાજકોટમાં છેલ્લા ત્રણ દિવસથી વરસાદી માહોલ સાથે જીવાદોરી સમાન,highly_relevant
bzRXjqx01V0,gu,VALSAD_વલસાડ જિલ્લામાં શિક્ષકોનું નવું પ્રાથમિક મહાસંઘ બનતા,not_relevant
r4qWI-uPnpA,gu,તાઈવાનની રાજધાની તાઈપે આજે ભૂકંપના જોરદાર આંચકાથી હચમચી ગઈ હતી,not_relevant
CVX1xY_vR_A,gu,,not_relevant
h4QUanFoQno,gu,સુરેન્દ્રનગર જિલ્લાનું ધોરણ 10 બોર્ડના સારા પરિણામને લઈ,not_relevant
VcfjPGrjipk,gu,ઝાડમાંથી પાણી કેમ નીકળે છે મોટો ચમત્કાર થયો,not_relevant
h-yih6pKCig,gu,,not_relevant
O792nki7GYU,en,ફરતે સાગર ને વચમાં સોનાની નગરી રે વાલા,not_relevant
tVwJOXLc7kQ,en,,not_relevant
in4brf3zpBE,en,Buisness Inquiry pagalgujju07 com Follow Us On Instagram Instagram,not_relevant
Jm25PsnQF34,gu,કાનમ પ્રદેશમાં ખેડૂતો અલગ અલગ જાતોના કપાસનું વાવેતર કરે છે,not_relevant
VeALk0f5I9c,gu,,not_relevant
H3Rut6XZ5NU,gu,ધોરણ 10 બોર્ડ ની પરીક્ષા નુ રિઝલ્ટ આવતા વિદ્યાર્થીઓમા ખુશી ની લહેર,not_relevant
5yF-D_Sc5Qk,en,RDCGujarati Presents SuperHit Gujarati Movie Thakor Ni Lohi Bhini Chundadi Song Lohi Bhini Chundadi Star Cast Rohit,not_relevant
AhR1d5sy93g,en,Live Gujarat News always stay ahead in bringing the Latest and Credible News current affairs from all the valley of National,not_relevant
ZWyyv_JXlkw,en,Song Lai Ja Ne Lerida લઈ જા ને લેરીડા Singer Gopal Bharwad Manisha Bharwad Artists Chhaya Thakor Kuldeep,not_relevant
2xFztKPd1wA,gu,Guj ના મુખ્ય સચિવ JN Singhએ લીધી Statue of Unity ની મુલાકાત કામગીરીનું,not_relevant
jF2x7-LshrU,en,Album Superhit Prabhatiya Singer Birju Barot Sound B K Sound Botad Producer Mogal Films Contact For Business Inquiry,not_relevant
W_V0cNpzmiM,en,Samachar Superfast Gujarati News આજના તાજા સમાચાર Latest News Top Headlines Today News 00 00 INTRO,not_relevant
D390wtoZxoA,gu,Breaking અત્યારના તાજા સમાચાર શાળા કોલેજ શિક્ષણવિભાગ Gujrat samachar,not_relevant
idbGRUkh5HA,gu,News18Gujarati Gujarat ના રાજકારણને લઈને આવ્યા સૌથી મોટા,not_relevant
6a5fvbBCKd0,hi,समुद्र की लहरें कैसे आती है,not_relevant
HrDUWJfT8zQ,gu,VALSAD_ગણેશજી ની સ્થાપના ને લઈને જાહેતનામું 2 ફૂટ થી ઊંચી નહીં માટી,not_relevant
MOOaSp1A2Y0,en,Corona Cases in Gujarat 25 January બાદ રાજયમાં દરરોજ 50 હજાર કેસ નોંધાઈ શકે છે Covid19,not_relevant
IkEj5wwPNQU,gu,Today Breaking અત્યારના તાજા સમાચાર શાળા કોલેજ શિક્ષણવિભાગ નિર્ણય Gujarat,not_relevant
ombgY7Y-Ois,en,Corona Breaking આજે રાતથી સંપૂર્ણ Lockdown MH Gujrat Khissu KHISSU,not_relevant
xxKH3N3RKwQ,en,gujarattak,not_relevant
64dDaWkGv1Y,en,9 06 22 આજના તાજા સમાચાર Khissu Today Breaking,not_relevant
2xl_uFlNdM0,gu,અમદાવાદના માણેકચોક બજારમાં સોની બજાર આવેલી છે પરંતુ ઘણા સમયથી,not_relevant
ZreD5cXt-ik,gu,,not_relevant
E2wkQmzYaT0,en,biharpolitics n1 Tv9 ગુજરાતીની Youtube ચેનલને સબસ્ક્રાઈબ કરો અને,not_relevant
HqANmXPIOVE,gu,શાળાઓ માટે મોટા સમાચાર વાલી અને વિધાર્થી જાણી લો student news Gujarat samachar,not_relevant
U-ikWqi-plU,en,LIVE Gujarat Corona Update કોરોનાથી બચીને રહેજો Covid19 Omicron Ahmedabad News18,not_relevant
kvN4nreD5SA,en,To get information about all the districts taluks and villages of the state see Brief News રાજ્યના તમામ જિલ્લા,not_relevant
fqcSWT2rz4I,gu,,not_relevant
UsbjYyrnsjk,en,Reach us on social media platforms Subscribe us on YouTube,not_relevant
00LK5gVvrPs,gu,GujaratiNews For all the live updates Subscribe to Sandesh News,not_relevant
KJF4K8H6ISg,gu,આજના 10 મોટા સમાચાર દેવુ માફ વિજળી માફ ખેડુત 2000હપ્તો,not_relevant
E3Ownqemhuo,gu,Breaking આજના તાજા સમાચાર ધો 1થી8 શાળા વિદ્યાર્થી રજા સરકારનો મોટો,not_relevant
prAXdOSUxyI,gu,ટોકિયો પેરાલમ્પિકમાં ભારતની રૃબિના ફ્રાન્સીસે આજે મહિલાઓની 10,not_relevant
5-zaXSP6KXg,gu,Ahmedabad મોંઘવારીનો ડબલ માર પેટ્રોલ ડીઝલ બાદ હવે શાકભાજીના ભાવમાં,not_relevant
vRf-c8znYAU,en,Heavy rainfall expected in Gujarat for 3 days Monsoon 2023 Gujarat Rain ZEE 24 Kalak,highly_relevant
INlngALShGQ,gu,Banaskatha વડગામના મુક્તેશ્વર ડેમ નજીક દેખાયું રીંછ,not_relevant
oP5xI-gF0E4,gu,ઇન્ડિયન સાર્સ કોવિ 2 કૉન્સોર્ટિયમ ઑન જિનૉમિક્સ INSACOG ના,not_relevant
oLFN2u2l1ic,gu,જીવરામ જવું પડશે તારે એકલું રડશે ઓશિયાળા થઈને તારા બાળકો Pitru Paksh na,not_relevant
J5ptsU5Xg9U,en,Join WhatsApp group Join telegram channel,not_relevant
_ZD6vkGK_PM,en,Cyclone Tauktae Red alert issued at Diu beach It is very likely to intensify into a Very Severe Cyclonic Storm during next 12 hours,highly_relevant
p8OonTNbQYY,gu,,not_relevant
wOajVhEJuFs,en,,not_relevant
qSsSLJMofPw,gu,,not_relevant
mettZ_m9-sw,gu,Banaskantha ગુજરાત એ રાજસ્થાન ને અડીને આવેલું રાજય છે જેમાં,not_relevant
Tm1fhTbKt-A,en,18 August Gujarati Current Affairs 2019 For GPSC GSSSB GPSSB IBPS RRB UPSC SSC Gnankutir Nilam Sharma,not_relevant
IQFySmfkgyY,en,GujaratiNews For all the live updates Subscribe to Sandesh News,not_relevant
FCjB_Y7wiIo,gu,1 કોરોના સંક્રમણ ઘટતા બે વર્ષ બાદ ખુલ્યા આંગણવાડી અને કે જીના વર્ગો,not_relevant
tXUJYHBGrXg,gu,VALSAD,highly_relevant
E2v7eFdfWPk,gu,બાપોદરા પરિવાર આયોજિત ભવ્ય દાંડિયા રાસ સ્વર રમેશ ઓડેદરા ડેવિન,not_relevant
XE0l1iwZV8I,gu,ગુજરાતની સૌપ્રથમ ડીજીટલ ચેનલ ARVALLI SAMACHAR સ્થાનિક પ્રશ્નોને વાચા,not_relevant
frbF-gJoLmA,gu,થરા નગરમાં ખરા બપોરે મેઘરાજાની ધમાકેદાર પધરામણી મા બફારા ઉકળાટથી,not_relevant
#NAME?,en,Jamnagar U5 Tv9 ગુજરાતીની Youtube ચેનલને સબસ્ક્રાઈબ કરો અને બેલ,not_relevant
r2q3GIWizpI,en,GujaratiNews For all the live updates Subscribe to Sandesh News,not_relevant
1a60TRek-kk,en,News18Gujarati Navsari માં નગરપાલિકાના વોર્ડ નંબર 12,not_relevant
4poE1bBTsu4,gu,Download Tak App કોંગ્રેસના નેતાઓના ઝઘડા રોકવામાં,not_relevant
qTR2iZ939H0,gu,PSI DV લિસ્ટ અંગે આવ્યા ખુબ જ મોટા સમાચાર PSI ડોક્યુમેન્ટ વેરિફિકેશન,not_relevant
bXRVyyxI5NE,en,News18Gujarati મુખ્યમંત્રીએ કહ્યું Gujarat માં કોઈ,not_relevant
#NAME?,gu,ગુજરાત અને દેશ દુનિયાના સમાચાર માટે જોડાયેલા રહો સંદેશ સાથે Sandesh is,not_relevant
rl6a6wq8lbg,en,for PDF join our telegram group પાક્ષિક પ્લેલિસ્ટ,not_relevant
fx-dbwAvKKA,en,Subscribe our channel for More Video Updates Follow us on Facebook,not_relevant
87AyAOIcJvY,gu,News18Gujarati જુઓ ગુજરાત અને દેશવિદેશના મુખ્ય,not_relevant
TEpEwT47k6s,gu,SandeshNews મોરબીમાં વોલ ટાઈલ્સના કારખાના બંધ થઈ ગયા છે,not_relevant
C8G86CP9n-w,gu,Uttar Pradeshમાં માથા ફરેલા શખ્સએ રેલવે ટ્રેક કાપીને ધમકી આપી પત્નીને લઇ,not_relevant
l6LUtxKWPCo,gu,Rakjot માં વેક્સિનેશનની કામગીરી પૂરજોશમાં તંત્ર કોરોનાની ત્રીજી,highly_relevant
rvOMoKYauyc,gu,ઉપરવાસમાં ઓછા વરસાદથી મહીસાગર જિલ્લામાં મહીસાગર નદી પર આવેલ કડાણા,highly_relevant
9vZ9pePkXyk,gu,22 હજાર લોકો સાથે કરી છેતરપિંડી શું છે Kheda માં થયેલી છેતરપિંડીનો,not_relevant
wnnDACJjWoo,en,BAPS KIRTAN આજ મારે ઘેર થાય લીલા લહેર II Aaj mare gher thay lila laher Darshan,not_relevant
qBcsXmALIdI,gu,ડાકોરમાં આજ થી રાજા ધીરાજ રણછોડ જી એ ભાવિક ભક્તો ને દર્શન આપ્યા ૫૮,not_relevant
qnSJxTrYfek,gu,ગોધરા તાલુકાના રતનપુર કાંટડી ગ્રામ પંચાયતની ચૂંટણી ૧૯ ડિસેમ્બરના,not_relevant
9kvoTPmzYB4,gu,maa news live કચ્છના તમામ સમાચાર 24 કલાક નિહાળો માં આશાપુરા ન્યૂઝ યુટ્યુબ,not_relevant
fYS9sMLyW1I,gu,News18Gujarati બે વર્ષ અને 4 વર્ષની બાળકીએ Coronavirus,not_relevant
ddhHeAwefOw,gu,પંચમહાલ મોરવા હડફ તાલુકાના ઘણા વિસ્તારોમાં લાંબા વિરામ બાદ,highly_relevant
2FWGdI5qAO8,gu,ઝીબ્રાનો શિકાર કરવા જતાં સિંહની શું હાલત થઈ જૂઓ Lion Viral Video Lion,not_relevant
g-p47mcfFGk,gu,ઘરે શીખીએ ધોરણ 8 અંક 3 સામાજિક વિજ્ઞાન ઓગષ્ટ નીચેની લિંક પર ક્લિક,not_relevant
2L_1Bpbytqo,en,Mantavya News is an urban Gujarati News Channel Breaking barriers from conventional news scenarios Mantavya s Key,highly_relevant
a6r9csnFy0I,gu,Breaking આજના તાજા સમાચાર વેકેશન નિર્ણય પરીક્ષા કોરોના મોદી ગુજરાત,not_relevant
2I0hQSMOjjs,en,ખેડૂતો માટે 06 મોટા સમાચાર khedut duniya commodity Trend khedut ikhedut ન્યૂઝ યોજના,not_relevant
iBdzBdpa_cU,en,Forest bharti update ફોરેસ્ટ ભરતી વોકિંગ ટેસ્ટ મોકૂફ Forest bharti news જાણો માહિતી,not_relevant
ktTdpMi8u-0,hi,चक्रीवादळ म्हटलं की आता महाराष्ट्राला धडकी भरते कारण मागच्या दोन,highly_relevant
nPzg2HFea4M,en,,highly_relevant
AqiSOgxqpgA,hi,UddhavThackeray तौक्ते चक्रीवादळामुळे झालेल्या,highly_relevant
PKPsJMG-mAg,en,,highly_relevant
9bIagaatFYU,hi,konkanimitra8600,highly_relevant
Tseagf29uBM,hi,निसर्ग चक्रीवादळाचा महाराष्ट्रावरचा प्रभाव कमी होण्यास सुरुवात,highly_relevant
x-Ov4C02JIU,hi,अरबी समुद्रातील कमी दाबाच्या क्षेत्राचं रूपांतर आता चक्रीवादळात,highly_relevant
tPYULyaMOTM,en,The fury of the sea has intensified with Cyclone 2023 bringing strong winds and heavy rainfall to the Konkan coast latest updates,highly_relevant
K7XM47wgRYQ,hi,वर्षभरापूर्वी निसर्ग चक्रिवादळाचा सामना करणारं कोकण आता या,highly_relevant
9xtoP_OJIV8,hi,abpमाझा,highly_relevant
l6oUBpTb87U,hi,biparjoycyclone बिपरजॉय चक्रीवादळ गुजरातच्या दिशेनं सरकलं असलं,highly_relevant
szsirhX0uVQ,en,,highly_relevant
VVJNtGVfVJY,en,biparjoycyclone Cyclone formed in Arabian Sea has moved towards Gujarat But its effects are likely to be,highly_relevant
lRuiyVv2zE0,en,,highly_relevant
XoLNlH9SyPs,en,is a 24 7 Marathi language News Channel based in Mumbai Maharashtra that launched in 2009,highly_relevant
gCdVBwA8aG4,en,,highly_relevant
3kIYofpG1mM,en,,highly_relevant
CTd1VTSh78k,en,,highly_relevant
j2B3nk1bPlg,en,,highly_relevant
ZzvbMMLAJ3A,hi,मुंबई महाराष्ट्र आणि कोकणाला ओखी वादळाचा चांगलाच तडाखा बसल्याचं,not_relevant
QQ73GAe8ITA,en,,highly_relevant
8Un7WOwIJE4,en,Konkan,highly_relevant
r7KpPyvrpeE,en,,highly_relevant
vC_HgERoLrE,en,Cyclone Nisarga Hits Kokan Maharashtra,highly_relevant
QXbC1lkVghU,hi,CycloneBiporjoy is a 24 7 Marathi language News Channel,highly_relevant
xJQ5kCp1r5c,hi,कोकण किनारपट्टीला जूनमध्ये अजस्त्र लाटांचा जोरदार तडाखा बसला आहे,not_relevant
NIBTkERR19U,hi,तौक्ते वादळ आणि माझी आंबाकाजू बाग Cyclone Mazo gaon।,highly_relevant
0ct1_FTJ90Q,en,Dust storm,highly_relevant
lU-F-f3xPnk,en,Shorts,highly_relevant
X3KsF9xIQ6g,en,,highly_relevant
yhkc5zTc4ak,en,Before tauktae cyclone climate at kokan coastal area be careful all of you guys,highly_relevant
5L4rOViM0SI,en,Kokan,highly_relevant
Aj1FLUhQl7g,en,कोकणामध्ये सोसाट्याच वादळ kokanchi Aavdan karti short,highly_relevant
0Y-xOE-yb9M,hi,Maharashtra बिपरजॉय चक्रीवादळामुळे कोकण किनारपट्टी,highly_relevant
kjg4qf2X2IE,en,,not_relevant
r6htUTDcsTE,en,Unforgettable moment of Cyclone disaster on 3rd june 2020,highly_relevant
6tD_NOw2-lY,hi,shorts,highly_relevant
O_UyLilX2UY,hi,,not_relevant
tsUdpSk04us,en,,highly_relevant
NFrU7-fMDPQ,en,Maharashtra Kokan Cyclone effects BNN NEWS,highly_relevant
52DY4EQZTaQ,en,,highly_relevant
a0mgyvXs0zg,en,Heavy impact on shores of konkan,highly_relevant
Cp1S5IN8BWo,hi,,highly_relevant
yFMxQi0s78Q,en,,highly_relevant
bIRXE4pKt1U,en,,highly_relevant
ZpQ-iNJmiCo,en,Tauktae cyclone in devgad konkan Maharashtra India,highly_relevant
