"What should you do if tornado warning issued during cyclone?","Move to interior room on lowest floor, avoid windows."
"How do you stay informed during the cyclone?","Battery/hand-crank radio, cell phone alerts, weather radio."
"What if you lose cell service during cyclone?","Try text messages, they often work when calls don't."
"Should you use generators indoors during cyclone?","Never, they produce deadly carbon monoxide gas."
"How do you avoid carbon monoxide poisoning during cyclone?","Never use generators, grills, or camp stoves indoors."
"What if flooding begins during cyclone?","Move to higher ground immediately, never drive through flood water."
"How deep of water can sweep you away during cyclone?","Just 6 inches of moving water can knock you down."
"How deep water can move a car during cyclone?","12 inches can float most cars, 18 inches can carry them away."
"What is the rule about driving during cyclone floods?","Turn around, don't drown - find alternate route."
"Should you walk through flood water during cyclone?","No, you can't see depth, debris, or downed power lines."
"What about downed power lines during cyclone?","Assume all are energized, stay at least 35 feet away."
"When is it safe to go outside?","Only when authorities declare all-clear and winds have stopped."
"What should you check first after the storm?","Gas leaks, structural damage, electrical hazards."
"How do you check for gas leaks?","Smell for gas, listen for hissing, never use matches to check."
"What if you smell gas?","Turn off main valve, evacuate, call gas company from safe location."
"How do you document damage?","Take photos/videos before cleanup for insurance claims."
"Should you enter damaged buildings?","Only if structurally sound, watch for hanging objects."
"How do you safely use chainsaws?","Wear protective gear, check for power lines, never work alone."
"What about contaminated flood water?","Avoid contact, wear gloves and boots, wash hands frequently."
"How do you clean up flood damage?","Remove water quickly, discard contaminated items, disinfect surfaces."
"Should you eat food that got wet?","Discard anything that contacted flood water or lost refrigeration."
"How long can food last without power?","Refrigerated: 4 hours, frozen: 24-48 hours if unopened."
"When should you call insurance company?","As soon as safely possible after the storm."
"What if roads are blocked?","Wait for emergency crews to clear, don't move debris yourself."
"How do you help neighbors safely?","Check welfare, share resources, report injuries to authorities."
"When will power be restored?","Depends on damage severity, could be days to weeks."
"How are power restoration priorities set?","Hospitals, emergency services, then residential areas."
"What about water service?","May take days to restore, boil water when service returns."
"Should you return home immediately after evacuation?","Only when authorities say it's safe and roads are clear."
"How do you prepare for long-term recovery?","Document losses, contact insurance, find temporary housing if needed."
"What financial assistance is available?","FEMA aid, SBA loans, insurance claims, charitable organizations."
"How do you apply for FEMA assistance?","Online, by phone, or at disaster recovery centers."
"What does FEMA assistance cover?","Temporary housing, home repairs, personal property replacement."
"How long do you have to file insurance claims?","Usually 1-2 years, but file as soon as possible."
"What if you disagree with insurance settlement?","Request re-evaluation, hire public adjuster, or seek legal advice."
"How do you find temporary housing?","FEMA assistance, insurance coverage, local shelters, family/friends."
"What about children's needs during recovery?","Maintain routines, provide emotional support, connect with school services."
"How do you deal with emotional trauma?","Seek counseling, join support groups, maintain social connections."
"What is disaster case management?","Service that helps coordinate recovery resources and services."
"How long does full recovery typically take?","Months to years depending on damage severity and resources."
"What is building back better?","Reconstructing with improved materials and methods to resist future storms."
"How do you make your home more storm-resistant?","Impact-resistant windows, stronger roof, elevated utilities, proper drainage."
"What are hurricane straps?","Metal connectors that secure roof to walls and walls to foundation."
"Should you elevate your home?","Consider if in flood-prone area, may reduce insurance costs."
"What is a safe room?","Reinforced interior space designed to protect from extreme winds."
"How do you landscape for hurricane resistance?","Plant native trees, avoid shallow-rooted species near structures."
"What insurance should you have?","Homeowners, flood insurance, windstorm coverage where needed."
"Why is flood insurance important?","Standard homeowners insurance doesn't cover flood damage."
"When should you buy flood insurance?","Before you need it, has 30-day waiting period."
"What is the National Flood Insurance Program?","Federal program providing flood insurance to property owners."
"How do you reduce insurance costs?","Mitigation measures like storm shutters, stronger roofing, elevation."
"What is a Community Rating System?","FEMA program that reduces flood insurance rates for participating communities."
"How do communities prepare for hurricanes?","Emergency plans, evacuation routes, shelters, public education, building codes."
"What are building codes for hurricane areas?","Standards for wind resistance, storm surge, and flooding."
"How do evacuation routes work?","Pre-planned roads that move people away from danger zones."
"What is a hurricane shelter?","Facility designed to protect people who cannot evacuate."
"How are shelters managed during storms?","Red Cross, Salvation Army, and local emergency management."
"What should communities do for vulnerable populations?","Special needs registries, assisted evacuation, accessible shelters."
"How do schools prepare for hurricanes?","Evacuation plans, communication systems, structural assessments."
"What is business continuity planning?","Preparing to maintain operations during and after disasters."
"How do hospitals prepare for hurricanes?","Backup power, extra supplies, evacuation plans, staff housing."
"What is mutual aid in disasters?","Communities helping each other with resources and personnel."
"How do you create a family emergency plan?","Meeting places, contacts, evacuation routes, communication methods."
"What information should be in your family plan?","Contact numbers, meeting locations, evacuation routes, important documents."
"How often should you practice your plan?","At least once a year, update when family situations change."
"What is a go-bag?","Pre-packed emergency supplies ready for quick evacuation."
"What should be in a workplace emergency kit?","Similar to home kit but for 3 days at work location."
"How do you communicate during emergencies?","Text messages, social media, out-of-state contact person."
"Why choose an out-of-state contact?","Local phone lines may be overloaded, long-distance often works."
"What is reverse 911?","Emergency notification system that calls phones in affected areas."
"How do you sign up for emergency alerts?","Register with local emergency management, enable phone alerts."
"What apps help during hurricanes?","Weather apps, emergency alert apps, family communication apps."
"How do you conserve phone battery?","Lower brightness, close apps, use airplane mode when not needed."
"What is amateur radio's role in disasters?","Backup communication when other systems fail."
"How do you stay informed without power?","Battery/hand-crank radio, car radio, neighbors with power."
"What is psychological first aid?","Providing comfort and support to disaster survivors."
"How do you help children cope with disasters?","Honest age-appropriate information, maintain routines, extra comfort."
"What are common post-disaster emotions?","Anxiety, sadness, anger, feeling overwhelmed - all normal reactions."
"When should you seek professional help?","If emotions interfere with daily life for extended periods."
"How do you maintain mental health during recovery?","Self-care, social support, professional help if needed, realistic expectations."
"What is survivor guilt?","Feeling bad about your situation when others suffered more."
"How do communities build resilience?","Education, planning, infrastructure improvements, social connections."
"What is climate change's effect on hurricanes?","May increase intensity and slow movement, raising sea levels."
"Are hurricanes becoming more frequent?","Not necessarily more frequent, but potentially more intense."
"What is hurricane modification?","Historical attempts to weaken storms, not currently operational."
"How accurate are long-range forecasts?","Limited skill beyond 7-10 days for specific storms."
"What is the difference between deterministic and ensemble forecasts?","Single forecast vs. multiple scenarios showing uncertainty."
"How do forecasters predict intensity?","Complex models considering ocean temperature, wind shear, atmospheric patterns."
"What is the biggest forecast challenge?","Predicting rapid intensification and exact landfall location."
"How has forecast accuracy improved?","Better satellites, models, and understanding have improved track forecasts significantly."
"What role do buoys play in forecasting?","Provide real-time ocean temperature and wave data."
"How do computer models work?","Mathematical equations simulate atmospheric behavior using current conditions."
"What is model consensus?","When multiple forecast models agree on storm track or intensity."
"Why do forecast tracks sometimes change dramatically?","Small changes in steering patterns can cause large track differences."
"What is the importance of continuous monitoring?","Storm conditions change rapidly, requiring frequent forecast updates."
"How do you interpret forecast uncertainty?","Larger cone of uncertainty means less confidence in exact track."
"What is storm surge modeling?","Computer simulations predicting surge height and inland penetration."
"How do you prepare for forecast uncertainty?","Prepare for range of possibilities, not just most likely scenario."
"What is the value of hurricane research?","Improves understanding, forecasting, and preparation saving lives."
"How do researchers study hurricanes?","Hurricane hunters, satellites, radar, ocean instruments, computer modeling."
"What is the Hurricane Research Division?","NOAA unit that studies hurricanes to improve forecasts."
"What new technologies are being developed?","Advanced satellites, drones, improved computer models, AI applications."
"How do you stay prepared year-round?","Maintain supplies, review plans, stay informed about forecast improvements."
"What is the importance of sustainable reconstruction?","Reduces vulnerability, prevents environmental damage, and ensures long-term safety."
"Question","Answer"
"What should coastal residents do before a cyclone strikes?","Follow evacuation orders, secure property, and stock emergency supplies."
"How can local cyclone shelters help during a storm?","They provide safe refuge for those who cannot evacuate to higher ground or safer areas."
"Who coordinates disaster response in India during cyclones?","National Disaster Management Authority (NDMA) along with State Disaster Management Authorities."
"How can schools prepare for cyclone season?","Develop evacuation plans, conduct drills, and communicate with parents and local authorities."
"What is a real-life example of a devastating cyclone?","Cyclone Fani in 2019 caused extensive damage in Odisha, India, with winds exceeding 200 km/h."
"How do mangroves help reduce cyclone impact?","Mangroves act as natural barriers, absorbing storm surge and reducing wind damage inland."
"Are elderly people at higher risk during cyclones?","Yes, elderly individuals may need assistance evacuating and managing medical needs."
"What should hospitals do to prepare for cyclones?","Ensure backup power, secure medical supplies, and have evacuation or shelter plans for patients."
"How can mobile apps help during cyclones?","Provide real-time alerts, evacuation routes, and emergency contacts for residents."
"What are common post-cyclone hazards?","Flooding, debris, contaminated water, and potential outbreaks of waterborne diseases."
"How can communities coordinate evacuation safely?","By using pre-planned routes, public alerts, volunteer networks, and transportation resources."
"What is the importance of disaster case management?","Helps survivors access aid, coordinate services, and recover efficiently after a cyclone."
"How can pregnant women stay safe during a cyclone?","Follow evacuation orders, have a go-bag ready, and seek medical advice ahead of storms."
"Why is local knowledge important during cyclones?","Local experience helps identify high-risk areas, safe shelters, and effective response strategies."
"What are some myths about cyclone safety?","Opening windows, going outside during the eye, or using candles indoors are all unsafe practices."
"How do drones assist in cyclone disaster response?","They help assess damage, locate stranded people, and monitor flooded or hazardous areas."
"What is the role of the military in cyclone response?","Assist with evacuations, rescue operations, and distribution of relief supplies."
"How do past cyclones inform current preparedness?","Lessons from previous events help improve building codes, evacuation planning, and public awareness."
"What is the impact of cyclones on coral reefs?","Strong waves and debris can damage reefs, affecting marine biodiversity and fisheries."
"How should pets be cared for during cyclone evacuation?","Bring them in carriers with food, water, vaccination records, and identification tags."
"What should be included in community emergency kits?","Water, food, first aid, flashlights, batteries, blankets, and communication devices."
"How can volunteers help during cyclone response?","Assist with evacuation, distribute relief, help with shelters, and provide first aid."
"What role do local NGOs play during cyclones?","Coordinate relief, provide emergency supplies, and support vulnerable populations."
"How can social media aid cyclone response?","Spread alerts, provide real-time updates, and help locate stranded individuals."
"What is the role of early warning systems?","Provide timely alerts to minimize loss of life and property damage."
"How should boats be secured during a cyclone?","Move to safe harbor or tie down securely to prevent drifting and damage."
"What should fishermen do when a cyclone is forecasted?","Return to port immediately, secure boats, and avoid venturing into stormy seas."
"How do cyclone-resistant structures reduce damage?","They withstand high winds, storm surges, and flying debris, protecting lives and property."
"What is the difference between primary and secondary hazards?","Primary hazards are direct (wind, surge), secondary hazards are indirect (flooding, disease)."
"How can community drills improve preparedness?","Practice evacuation, communication, and resource management to reduce confusion during actual events."
"How does climate change affect cyclone intensity?","Warmer oceans can increase storm intensity and rainfall, making cyclones more destructive."
"Why are low-lying areas most vulnerable?","They are prone to flooding and storm surge, increasing risk of property damage and fatalities."
"What is the role of insurance in cyclone recovery?","Covers property damage, helps rebuild homes, and provides financial support for victims."
"How can solar power be used during cyclones?","Portable solar panels can provide emergency electricity when the grid fails."
"How should mental health be addressed post-cyclone?","Provide counseling, support groups, and community resources to manage trauma and stress."
"What is the importance of documenting cyclone damage?","Necessary for insurance claims, government aid, and planning future mitigation."
"How do levees and seawalls help during cyclones?","They reduce flooding, divert water, and protect communities from storm surge."
"What is the importance of proper drainage systems?","Prevents waterlogging, reduces flood damage, and maintains sanitary conditions."
"How should water be purified after flooding?","Boil, use purification tablets, or filter to avoid waterborne diseases."
"How can communities manage debris safely?","Separate hazardous waste, use protective gear, and coordinate with authorities for removal."
"How do local government agencies coordinate during cyclones?","Share information, manage resources, lead evacuations, and communicate with the public."
"What is reverse 911?","Automated system calling residents to inform about hazards and evacuation orders."
"How should vehicles be used during evacuation?","Avoid driving through flooded areas, follow designated routes, and maintain fuel."
"What is the importance of backup communication channels?","Ensure continued information flow if primary networks fail."
"How can emergency shelters support special needs populations?","Provide accessible facilities, medical care, and assistance for mobility or hearing-impaired individuals."
"What are key items in a go-bag for a family?","Water, food, medications, clothes, important documents, flashlight, and battery-powered radio."
"How can teachers educate students about cyclones?","Classroom lessons, drills, and engaging educational materials on hazards and safety."
"What are the main phases of cyclone management?","Preparedness, response, recovery, and mitigation."
"How do volunteers assist with post-storm cleanup?","Remove debris, help rebuild structures, and support affected families."
"What is mutual aid in cyclone recovery?","Neighboring communities or organizations provide assistance with resources and manpower."
"How can communities plan for long-term resilience?","Invest in infrastructure, enforce building codes, educate public, and maintain emergency plans."
"What is the role of local meteorological offices?","Forecast storms, issue warnings, and provide public guidance."
"How can remote sensing aid cyclone management?","Monitor storm development, track movement, and assess post-storm damage."
"What is a storm surge map?","Shows potential areas of flooding from storm-driven sea-level rise."
"How should farmers protect crops during cyclones?","Harvest early, secure structures, use protective coverings, and follow advisories."
"How can businesses prepare for cyclones?","Develop continuity plans, secure assets, backup data, and train staff for emergency procedures."
"What is the role of the Red Cross during cyclones?","Provide shelters, medical aid, food, and coordinate disaster relief."
"How do hospitals prioritize care post-cyclone?","Treat critical patients first, manage triage, and restore essential services."
"What are common electrical hazards after cyclones?","Downed power lines, flooded electrical systems, and exposed wires."
"How can communities prevent waterborne diseases?","Boil water, avoid contact with flood water, and maintain sanitation."
"What is the importance of early evacuation?","Reduces fatalities, prevents injuries, and allows emergency services to operate effectively."
"How can local radio stations help during a cyclone?","Broadcast updates, warnings, and safety instructions to residents."
"What are high-risk behaviors during cyclones?","Driving through floods, ignoring evacuation orders, and staying near windows."
"What are low-risk behaviors during cyclones?","Following official guidance, sheltering safely, and having emergency supplies."
"How do international organizations assist during cyclones?","Provide funds, expertise, supplies, and coordinate with local authorities."
"How can GIS be used in cyclone management?","Map hazards, evacuation routes, and resources to support planning and response."
"What are the legal obligations of authorities during cyclones?","Issue warnings, coordinate evacuations, and provide public safety measures."
"How should food be stored during cyclones?","Non-perishable, sealed, and sufficient for at least 3 days per person."
"How can people communicate when networks are down?","Use radios, satellite phones, or pre-arranged meeting points."
"What is the importance of family emergency meetings?","Ensures everyone knows the plan, contacts, and evacuation routes."
"What are the responsibilities of community leaders?","Coordinate response, distribute resources, inform public, and support vulnerable members."
"How do you recognize signs of structural damage?","Cracks in walls, sagging roofs, tilted buildings, and water intrusion."
"How can technology improve cyclone response?","Drones, AI, early warning systems, and data analytics enhance preparedness and recovery."
"What are common myths about storm surge?","Water level rises slowly or only affects beachfront; actually it can surge rapidly and inland."
"How can communities support displaced populations?","Temporary housing, food, medical aid, and psychosocial support."
"How is cyclone intensity categorized?","By wind speed, central pressure, and potential damage (Saffir-Simpson or regional scales)."
"How do local emergency plans improve safety?","Predefines responsibilities, communication, and evacuation, reducing confusion."
"What is the importance of continuous education on cyclones?","Keeps public aware, improves preparedness, and reduces risk during future events."
"What are key lessons from major cyclones?","Early warning saves lives, resilient infrastructure reduces damage, and coordination improves recovery."
"How can children be educated about cyclone safety?","Age-appropriate lessons, drills, and involving them in family preparedness plans."
"What is the role of social support networks?","Provide emotional, logistical, and material assistance during and after disasters."
"What are indicators of flood risk during cyclones?","Low elevation, proximity to coast, historical flood records, and heavy rainfall."
"What is the importance of personal responsibility in cyclone preparedness?","Individuals who prepare reduce strain on emergency services and increase survival chances."
"How do you handle hazardous chemicals after a cyclone?","Do not touch, report to authorities, and avoid contamination."
"What are common post-cyclone psychological effects?","Anxiety, depression, PTSD, grief, and stress due to loss and disruption."
"What are key strategies for long-term mitigation?","Strengthen infrastructure, improve land-use planning, community education, and environmental protection."
"Question","Answer"
"What is a tsunami?","Series of ocean waves caused by sudden displacement of large water volumes."
"What causes tsunamis?","Underwater earthquakes, volcanic eruptions, landslides, or meteorite impacts."
"What is the most common cause of tsunamis?","Underwater earthquakes with magnitude 7.0 or greater."
"How deep must earthquake be to cause tsunami?","Usually less than 70 kilometers deep in ocean floor."
"What type of fault movement creates tsunamis?","Vertical displacement of seafloor, not horizontal sliding."
"Can volcanic eruptions cause tsunamis?","Yes, explosive eruptions or volcanic collapses can displace water."
"Can landslides cause tsunamis?","Yes, underwater or coastal landslides can generate local tsunamis."
"What was the deadliest tsunami in history?","2004 Indian Ocean tsunami that killed over 230,000 people."
"What was the largest tsunami wave ever recorded?","1958 Lituya Bay, Alaska - 524 meters (1,720 feet) high."
"How fast do tsunamis travel in deep ocean?","500-800 km/h (300-500 mph), speed of commercial jet."
"How fast do tsunamis travel in shallow water?","Slow to 50-100 km/h (30-60 mph) but increase in height."
"Why do tsunamis slow down near shore?","Shallow water creates friction that reduces speed but increases height."
"How high can tsunami waves get?","Generally 3-30 meters, but can exceed 40 meters in extreme cases."
"What is tsunami runup?","Maximum vertical height water reaches inland from sea level."
"How far inland can tsunamis travel?","Up to 10 kilometers inland on flat coastal plains."
"Are all tsunami waves the same size?","No, waves vary in size and the largest may not be first."
"How many waves are in a tsunami?","Multiple waves over hours, later waves can be larger than first."
"What is the time between tsunami waves?","Usually 10-45 minutes between wave crests."
"Do tsunamis always appear as giant walls of water?","No, often appear as rapidly rising tide or fast-moving flood."
"What is a tsunami bore?","Wall of turbulent water that forms in rivers and narrow bays."
"What are the early natural warning signs of tsunami?","Strong earthquake lasting over 20 seconds near coast."
"What does ocean recession mean before tsunami?","Water suddenly retreats exposing seafloor and marine life."
"Should you investigate exposed seafloor during recession?","No, immediately evacuate to high ground - tsunami is coming."
"What sound might you hear before tsunami?","Loud roaring sound like freight train or jet engine."
"Can animals sense tsunamis before humans?","Animals may act strangely, but don't rely on this as warning."
"What if you feel strong earthquake at coast?","Immediately move to high ground, don't wait for official warning."
"How long do you have after earthquake to evacuate?","Usually 15-30 minutes for nearby tsunamis, hours for distant ones."
"What if earthquake is too weak to feel?","Distant earthquakes can still generate tsunamis, watch for other signs."
"Should you wait for official warnings?","No, natural signs require immediate self-evacuation to high ground."
"What if you see ocean recession but felt no earthquake?","Still evacuate immediately - tsunami could be from distant source."
"Can small earthquakes generate tsunamis?","Rarely, but underwater landslides triggered by small quakes can."
"What if water level rises unusually fast?","Evacuate immediately, this could be first wave of tsunami."
"Who issues tsunami warnings?","National tsunami warning centers and local emergency management."
"What is a tsunami watch?","Tsunami possible based on earthquake data, stay alert for updates."
"What is a tsunami advisory?","Strong currents expected, stay out of water but evacuation not required."
"What is a tsunami warning?","Dangerous tsunami waves expected, immediate evacuation required."
"How are tsunami warnings distributed?","Sirens, radio, TV, cell phone alerts, social media."
"What should you do when tsunami warning issued?","Evacuate immediately to high ground or inland."
"How much time do warnings give you?","Minutes to hours depending on distance from tsunami source."
"What if warning systems fail?","Trust natural warning signs and evacuate based on earthquake or ocean changes."
"Should you wait to confirm tsunami before evacuating?","No, by the time you see it, it's too late to escape safely."
"What technology detects tsunamis?","Deep ocean buoys (DART system), coastal tide gauges, seismographs."
"How do deep ocean buoys work?","Detect pressure changes on seafloor and transmit data via satellite."
"What is the DART system?","Deep-ocean Assessment and Reporting of Tsunamis buoy network."
"How accurate are tsunami warnings?","Very accurate for detection, but height and arrival time estimates vary."
"Can tsunamis be predicted like weather?","No, they can only be detected after the triggering event occurs."
"What should be in your tsunami emergency kit?","Water, food, flashlight, radio, first aid, important documents, sturdy shoes."
"How much water should you store for tsunamis?","1 gallon per person per day for at least 3 days."
"What type of radio is best for tsunami emergencies?","Battery-powered or hand-crank weather radio with NOAA alerts."
"What documents should you protect from tsunamis?","ID, insurance papers, medical records in waterproof container above flood level."
"Should you keep emergency supplies at work?","Yes, workplace kit with supplies for 72 hours."
"What shoes are best for tsunami evacuation?","Sturdy closed-toe shoes that won't slip off during running."
"How do you prepare your home for tsunamis?","Know evacuation routes, secure water heater, elevate utilities, have emergency kit."
"Should you elevate your house in tsunami zones?","Consider elevation on posts/pilings if structurally and financially feasible."
"What insurance covers tsunami damage?","Flood insurance may cover some tsunami damage, check policy details."
"How do you create tsunami family plan?","Meeting places, evacuation routes, communication methods, out-of-area contact."
"Where should family members meet after tsunami?","High ground location away from coast that everyone can reach."
"How do you practice tsunami evacuation?","Walk evacuation routes, time how long it takes, practice at different times."
"What if family members are separated during tsunami?","Use predetermined meeting places and out-of-state contact person."
"How do you prepare pets for tsunami evacuation?","Carriers, leashes, food, water, medications, identification tags."
"Can you drive during tsunami evacuation?","Only if absolutely necessary, traffic may be gridlocked - walking often faster."
"What if you're at beach when earthquake occurs?","Drop, cover, hold, then immediately move to high ground when shaking stops."
"What if you're in boat when tsunami warning issued?","If in deep water stay there, if near shore get to land and move inland."
"How high is safe during tsunami evacuation?","At least 30 meters (100 feet) above sea level or 2 km inland."
"What if no high ground is available?","Move as far inland as possible, seek upper floors of strong buildings."
"Should you use elevators during tsunami evacuation?","No, use stairs in case power fails during evacuation."
"What if you're driving when tsunami warning issued?","Park safely, grab emergency kit, evacuate on foot to high ground."
"Can you outrun a tsunami in a car?","Unlikely due to traffic, debris, and tsunami speed - evacuate on foot when possible."
"What if evacuation routes are blocked?","Find alternate route to high ground, don't return to dangerous areas."
"Should you help others during evacuation?","Yes if safe to do so, but don't risk your life unnecessarily."
"What if you encounter injured person during evacuation?","Help if possible but prioritize getting to safety first."
"How do you evacuate with mobility limitations?","Plan assistance in advance, use wheelchairs/walkers, seek help from others."
"What if you're caring for small children during evacuation?","Carry infants, hold hands with toddlers, practice evacuation regularly."
"Should elderly or disabled people evacuate?","Yes, make advance plans for assistance and transportation."
"What if you can't reach designated evacuation area?","Get to highest ground available, even upper floors of buildings."
"What do you do if caught in tsunami water?","Grab floating debris, avoid power lines, try to get out of water quickly."
"Can you swim in tsunami water?","Very difficult due to debris and powerful currents - avoid if possible."
"What if tsunami water is rising around you?","Climb to highest available point, call for help, avoid electrical hazards."
"Should you enter buildings during tsunami?","Only strong, tall buildings as last resort - high ground is better."
"What if you're swept away by tsunami?","Grab something that floats, protect head from debris, try to swim to safety."
"Can you survive being in tsunami water?","Possible but dangerous due to debris, contamination, and powerful currents."
"What if you're trapped in building during tsunami?","Get to highest floor, signal for help, stay away from windows."
"Should you go back for belongings during tsunami?","Never, material possessions can be replaced - your life cannot."
"What if you forgot someone during evacuation?","Don't return, notify emergency responders of missing person location."
"How long should you stay in evacuation area?","Until authorities give all-clear, usually several hours after last wave."
"What if you hear tsunami siren during evacuation?","Continue evacuation immediately, siren means danger is imminent."
"Can you drink tsunami water?","Never, it's contaminated with saltwater, debris, and hazardous materials."
"What if you're hungry during long evacuation?","Ration emergency food supplies, help may take hours to arrive."
"Should you use cell phone during tsunami?","Only for emergencies, preserve battery and avoid overloading networks."
"When is it safe to return after tsunami?","Only when authorities give official all-clear and inspect for hazards."
"What should you check first after returning from tsunami?","Structural damage, electrical hazards, gas leaks, contaminated water."
"How do you check for gas leaks after tsunami?","Smell for gas, listen for hissing, turn off main valve, call gas company."
"What if your house was flooded by tsunami?","Don't enter until inspected, assume contamination, document damage with photos."
"Should you drink tap water after tsunami?","Not until authorities confirm it's safe, use bottled or boiled water."
"How do you clean up after tsunami?","Wear protective gear, remove contaminated materials, disinfect surfaces thoroughly."
"What should you throw away after tsunami?","Food that contacted water, damaged electrical items, porous materials like carpet."
"How do you deal with tsunami debris?","Don't handle alone, report large debris to authorities, watch for hazardous materials."
"What if utilities are damaged after tsunami?","Don't use until professionally inspected and repaired."
"Should you enter your car after tsunami?","Have it inspected first, saltwater can damage electrical and mechanical systems."
"How do you document tsunami damage for insurance?","Take photos/videos before cleanup, keep receipts, contact insurer immediately."
"What emotional reactions are normal after tsunami?","Anxiety, sadness, anger, difficulty sleeping - all normal stress responses."
"When should you seek mental health help after tsunami?","If symptoms persist or interfere with daily functioning."
"How do you help children cope with tsunami trauma?","Provide comfort, maintain routines, give honest age-appropriate information."
"What if you lost important documents in tsunami?","Contact agencies to replace ID, insurance papers, medical records."
"How do you find missing family members after tsunami?","Contact Red Cross, check emergency shelters, use social media safely."
"What assistance is available after tsunamis?","FEMA aid, Red Cross help, local charity support, insurance claims."
"How long does tsunami recovery take?","Months to years depending on damage severity and available resources."
